ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416446371.24762,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416446371.24762,pg_catalog,pg_db_role_setting,0,0,27020,0,0,0,0,0,0,0,0,0,57,26963,0,0,0,0
1416446371.24762,pg_toast,pg_toast_12713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_description,0,0,912,0,0,0,0,0,0,0,0,0,303,1724,0,0,0,0
1416446371.24762,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,public,region,6,10,8,8,5,0,0,0,5,0,5,15,2,10,,,,
1416446371.24762,pg_catalog,pg_class,2023,452528,163092,149968,407,109,369,102,337,57,1388,167662,1315,341600,,,,
1416446371.24762,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416446371.24762,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_operator,0,0,49371,256458,0,0,0,0,0,0,1088,177843,945,107314,,,,
1416446371.24762,information_schema,sql_languages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416446371.24762,pg_toast,pg_toast_12693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_attribute,473,3225,131645,296013,1540,50,1362,21,2514,10,3593,152202,1163,277086,,,,
1416446371.24762,public,orders,9,60000000,30,30,15000000,0,0,0,15000000,0,504559,2065423,41135,121,,,,
1416446371.24762,pg_toast,pg_toast_12698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416446371.24762,pg_catalog,pg_tablespace,2,4,4591,4591,0,0,0,0,0,0,99,4494,211,8997,,,,
1416446371.24762,pg_catalog,pg_statistic,0,0,34442,32902,381,860,318,549,464,23,2416,33554,364,74638,7787,31724,319,28045
